,Real values,Predicted values
28646,200000,240863.32698449746
15366,355000,386326.5320432683
4430,1350000,578410.4707439928
9169,74000,9094.755653167726
24286,995000,1192148.7853600236
27200,299500,283199.7678280744
48276,425000,296002.6298119534
49971,335000,274176.6236002572
22140,227500,253558.09546715865
39226,495000,376586.68761096057
28849,348000,598620.2320944244
35294,885000,1010666.4613029982
47814,230000,274882.91526414483
12033,1895000,974824.4871899786
17822,449000,515311.48320477526
32486,529000,540550.8313384107
40056,335000,533811.7470745234
17279,1950000,1076927.78337823
53461,249000,345704.9188787921
49184,535000,648814.5792614263
17132,255000,240088.22009466332
27339,399000,405588.1219497646
48527,475000,536268.8796092502
28143,219500,205850.52723711918
52496,215000,290287.4409399825
26707,585000,446491.75324205443
1160,236000,167471.1432601817
42167,549000,782358.5872511053
30218,169000,7408.710676699062
45376,260000,264317.6389984218
29349,345000,184005.81631751114
8198,412900,345223.81966190744
7524,249000,99227.07626560063
39469,460000,549554.6902259588
47244,575000,489163.493494314
7447,465000,503974.3776662652
42780,259000,264404.960524685
8420,795000,1021902.0792588806
9889,303400,267952.7004808289
20252,295000,381396.5837063741
33909,359000,335040.3097673521
25201,650000,478551.0934837318
30531,367000,540795.7566482694
22228,280000,203891.42094664584
13178,595000,609312.2144039389
20533,157500,275187.8977322915
1605,375000,282842.5372231632
45449,340000,289800.4279456825
27794,100000,-49760.07996938203
35599,280000,493006.2138086209
50303,350000,340713.70725683577
52507,220000,270370.96167479485
46382,425000,563810.3327016479
932,340000,452954.7549428501
49197,565000,485178.93843811605
18505,295000,379932.61723144597
43603,365000,254261.41414719904
48917,275000,285957.9128644046
2442,875000,669757.434624905
35791,380900,282425.9924269023
11467,395000,290241.8680025247
17060,290000,141587.34636721783
21270,1300000,1030617.6104938879
50830,249000,461341.4904934966
2669,210000,202032.2894419808
19004,135000,163435.14890416054
26159,85000,-94901.88283044257
45001,229000,179314.06604572322
14951,419000,420559.39786764496
18847,635000,508855.2922990472
19609,725000,1083290.9377299459
7789,2185000,1490593.2226830123
7502,385000,573974.1518376694
28316,430000,378948.2310598512
22942,349000,355733.36408515833
6942,495000,456832.237953262
49622,395000,364729.0392440577
4956,850000,1131927.7072369228
43093,475000,547955.9164046708
45470,369000,282206.2091531709
35336,489000,593956.6433363862
40289,445000,329557.14752577996
4257,430000,282912.40331168496
6165,169000,168746.18436186947
19554,585000,732610.7034300878
14064,795000,760786.8773135467
28931,379380,267997.20671774575
20369,675000,678884.1080135467
31701,369000,431177.3193737748
39818,495000,473444.3215338119
9954,1195000,470835.1017055228
40489,239000,276699.78466196917
41394,390000,433743.1793143878
26050,1499000,981978.4504342091
28020,749000,739445.4180730211
51080,288000,366834.2171189996
19950,319000,326307.6869503425
39190,298000,368478.1931611321
4639,179000,135006.6500274216
12681,397600,364403.63810378226
47122,312000,424178.7376199839
19348,379000,423296.13794769923
44287,430000,320288.69008566835
45062,354500,263283.9039130742
3589,239000,285394.6348839865
6441,239000,186850.10479558888
36773,675000,721693.5834376265
36185,457000,498912.7970837459
11291,525000,611434.7278881812
51797,810000,678814.5550399038
25993,995000,1080976.2103005357
3983,499500,383449.36214351346
15085,745000,582809.2592416836
37856,199000,219191.0224542584
50829,249000,461341.4904934966
45791,345000,376460.833470752
24145,549000,506405.9097804993
51730,535000,503908.68768010114
19220,295000,433786.2742551756
7922,469000,468289.4305301721
21663,219000,197184.0061335907
44533,398000,576777.0821768683
46921,220000,451344.9929077171
14703,239000,165096.05381313385
41869,312500,379563.792117678
4512,425000,512621.9035166456
4887,229000,134079.23176930397
26014,1175000,987854.5707030813
25889,665000,516758.845680443
44501,239500,173753.37859209644
19968,350000,629500.053994649
52210,310000,575325.4812103955
4197,245000,245997.50915043
18410,485000,607316.6581393502
39045,349000,471864.23203498573
51315,220000,149585.85885285516
23307,245000,232078.45397189978
52836,398000,491928.6155785121
48754,215000,259439.16320597506
33835,299000,378296.01909407997
2989,298000,356550.2780161757
45424,290000,151072.66956155316
44197,880000,421133.1176527556
25374,275000,259717.97633374357
3225,199000,406323.1521501594
51153,398000,389914.5233498509
46140,239500,182398.21510109433
52460,349000,375602.5383296185
27649,930000,852042.5719632069
41147,295000,329037.452425134
10994,99000,88808.41226274404
17861,485000,421949.2887371772
11436,695000,663910.7470153519
15362,349000,639498.7606093728
30586,415000,374589.46773317177
21521,169000,276085.42753308755
10035,159000,230277.98614601055
40826,795000,597446.9955084801
1805,329000,372956.8934004416
15385,795000,458423.7035821162
26495,160000,138577.68265469553
25843,575000,1420633.7864402821
28996,415000,618836.2482777516
4731,1700000,822686.8733651997
1934,340000,280429.25452769746
23966,350000,243182.40690382617
29004,419000,531444.1162945321
32792,525000,839443.0735369916
4120,165000,120179.2888328426
41967,365000,298311.03378733655
23076,349000,236762.72650142648
42187,685000,576740.0569943968
17186,409000,517145.9405001578
39759,235000,241700.71569475284
33408,799000,794494.4218979895
7197,269000,464220.8728903484
17790,419000,410571.5622904724
20872,375000,299897.5798144073
13723,545000,605329.8474515365
22443,409000,552819.3507854266
29505,509000,427432.09388880903
14595,319000,609212.4357729895
46784,669000,710337.2389850748
50834,249000,533106.0998747309
19119,228000,216174.8240685018
15963,160000,154648.27445303014
11475,730000,876465.2147523724
35351,1950000,1171240.222800099
9967,239000,203324.86491582275
15924,99000,178516.2648772648
2282,495000,656187.43123302
7430,389900,415888.7919669147
36313,449000,824736.1703552813
47478,295000,364769.57188834704
37648,835000,987351.4748386089
27009,199000,242645.29271143192
47895,269000,214270.33392723917
12879,285000,266724.3636884175
26507,189000,232242.28892545355
13237,640000,540659.29974531
1951,750000,1196436.2010890117
44236,529000,657964.6599978831
31140,649000,736138.3633711706
37018,188000,67479.16155251366
22956,229000,205895.40626121667
1963,220000,139362.97060777433
49360,265000,250769.2485415746
34251,549000,585627.8592835707
18199,285000,398034.28037194675
14200,915000,786646.1441400177
32827,295000,347327.4418753415
3865,491100,294707.5718946145
43775,330000,509042.93863505253
2619,135000,77034.33309880667
13726,549000,730570.1270479482
38966,265000,287151.4414267717
36619,235000,152940.28995303472
33188,189000,207157.294354146
12660,638400,610888.7545920741
9170,74000,9094.755653167726
19414,415000,613436.1451713132
34861,389000,543524.2622152222
934,340000,452954.7549428501
47184,410000,462272.463654238
25040,675000,518644.4940439435
7765,450000,378312.6002333039
4215,585000,722936.547312061
8218,1085000,455790.1379754355
36919,149900,105345.55075312586
48770,219900,293042.14687383716
8314,249000,171167.13368890062
13557,369500,376408.67291651544
31979,215000,111257.86802159308
47193,445000,654784.0953998601
23442,525000,414814.4500122231
17544,240000,212175.97871936523
49015,334000,400786.7911407107
6116,360000,460978.22345644137
8904,795000,669734.6313992292
37278,315000,457946.0020418427
44374,225000,239971.2158658483
35687,329000,320254.3398760044
16741,234000,399835.78225876665
3560,795000,661651.5613476213
41771,296000,371932.7889525136
5384,129000,153976.9913196069
25711,449000,731523.8948010847
29407,345000,294050.9392020381
38820,349000,307230.66841555806
23888,279000,296279.51083456026
5157,189000,319834.1440227638
849,559000,397013.6088574195
47071,289000,324304.3904588584
1623,499000,526623.7002566505
8428,1390000,896945.3802569944
17618,285000,212475.94540005954
2387,369000,374670.05854022794
16619,1495000,806076.3399540293
24248,795000,463481.9536524296
18726,320000,311208.95652573917
29924,519000,502934.6334997923
11669,155000,121136.52612008835
6017,335000,343617.28877836984
15804,1480000,1265625.9697268845
32000,239000,267705.64017092576
5727,349000,405130.6370442091
1490,185000,107563.33879325929
2891,475000,390916.88002496975
39483,699000,736270.7379355157
5031,675000,579325.6657933024
14280,295000,532017.4946643278
18885,845000,902908.1888216787
8454,350000,346500.8613142655
2200,439000,527144.105593917
27271,350000,214745.9823337809
21434,450000,690084.3205291228
26622,389000,479932.77427950676
40752,395000,361274.44345267623
30839,1775000,1181169.9466746175
22592,625000,818819.9289551404
42393,475000,493365.44250000356
33390,695000,698071.9303188171
28248,379000,502047.55924351345
7232,465000,798018.1443590672
29982,795000,759111.1822864073
46941,229000,362434.84795212594
43399,255000,321041.4925513023
26460,99000,141645.6731029722
52288,249500,284809.9840195328
44687,275000,258814.31106260797
47595,445000,525409.4984239221
38425,449000,493207.24913852935
37546,580000,584908.1263705569
44281,398000,470142.6902093912
13909,2200000,1148547.6334205412
20886,379000,558448.2692850822
41841,318000,279506.94223619497
50841,249750,298800.4382335739
48326,265000,327606.33449831384
13625,399000,467432.1317348697
33446,265000,311522.2169222095
9201,219000,392306.4702610041
15084,745000,582809.2592416836
38224,435000,287900.55492599006
38402,670000,385231.18726110755
35103,275000,334025.7146319868
24777,899000,1071284.749774996
17393,149000,257084.4360923766
11130,270000,292201.83906231227
31481,325000,360607.88415813365
38744,245000,358188.704401762
40597,215000,179643.16027266067
28325,465000,651270.4365902521
11196,345000,463062.7988638873
32372,424999,281641.061766059
37758,1820000,930245.1334531461
29051,450000,705979.5014809084
2704,185000,189984.95554507693
40454,275000,407048.83207202447
19336,375000,422180.45054082177
43714,350000,441136.61540614563
5224,399000,313781.987190942
9505,199000,173748.880267333
28985,407500,287360.7719115407
27013,199900,340893.13550254557
35853,430000,737796.6953152742
37759,1820000,930245.1334531461
1944,669000,614922.2267171851
3873,675000,671845.1020653115
53440,225000,225524.89755492075
43981,269500,443539.15343617863
23432,484000,560465.1225123253
23362,325000,289267.68499973486
16707,365000,353416.82374294533
41763,289000,306593.46049010137
29410,529000,642561.1343605745
41788,569000,398185.254323125
49442,209000,185587.60139478825
8756,429000,469591.85150926845
49754,442000,430485.7903551267
11863,1500000,1293077.326633588
23513,1150000,1054826.480315881
36459,825000,786287.8430534515
5495,750000,659257.7554010447
51134,349000,353339.34379361453
23028,498000,448593.65316557314
3806,199000,185698.90690708888
31017,1100000,840756.9735854154
14844,339000,720509.3171536615
52101,339000,413368.3994595109
51873,220000,250795.71931860066
33811,285000,239959.58850379172
1662,299000,258851.72275535914
5402,190000,203566.3890438366
14039,314900,289575.64827396645
20643,229000,254662.7862102907
19208,294000,346141.4471000125
28823,315000,407453.64703305793
41213,495000,428496.7291840027
10828,560000,397942.0117423363
40709,425000,436790.91450712236
48991,319000,351250.75753567024
44187,795000,448149.0277232173
33180,180000,219594.89814258955
35029,185000,121469.58482428436
7046,99000,70701.00206024048
40652,435000,495927.88124189776
45871,570000,539625.5364649339
3355,449000,338126.0907067044
51019,1245000,789175.7550342801
53158,255000,286541.97619225946
10691,250000,248568.64486508444
22104,199000,135199.62568485888
49116,399000,408471.72256780835
27566,650000,753947.4047206817
35493,209000,292786.3338570675
6637,269000,266105.81255482865
45358,250000,440669.0080104433
16432,525000,372268.1724755126
36235,299900,219352.7277633282
41375,725000,509542.4685362387
38399,499000,516644.8165919481
41729,240000,267187.6309781302
9196,199000,191942.52369147004
14835,329000,449149.45505059045
31586,550000,557401.4835535213
9215,249000,230033.92890856505
14962,439000,401695.4165917643
26738,695000,699663.5377731819
10219,440000,451248.14935708843
5791,685000,711675.3376027287
36238,324000,559956.0598940776
20269,320000,394357.10198278015
16101,249000,230816.18870608485
14617,155000,89340.2882480101
9260,339900,451468.0048056706
36452,590000,689301.5820459333
46820,295000,259995.38917334832
31473,293971,184132.85059440823
53175,300000,315248.06867052906
741,299000,318868.05528265
13999,530000,717420.5118869026
22356,365000,231393.75978574652
15892,349000,642135.4224962072
47614,619000,815066.2481409307
26004,1098000,851620.9507256184
25321,249000,249380.7480906317
4393,399000,385614.66503212205
1818,269000,342642.98740653327
32485,529000,540550.8313384107
19547,569000,543286.7603360934
3883,164000,213181.53668501246
1646,349000,437472.2040917706
10703,399850,611349.0495513489
26802,169000,192859.43389464065
50154,265000,272017.4780337662
31210,290000,362146.92230029433
383,255000,214899.3510343312
38886,259000,243575.57202657955
31852,150000,322389.8775766162
14400,199000,110596.38644307759
40550,249000,221354.8125786378
31876,169000,183954.43523870944
49880,365000,319442.4808973491
30468,334500,270039.7878414261
13400,230000,298989.110738866
36525,499000,601028.4112285912
19969,350000,629500.053994649
32890,435000,380205.405907642
51010,899000,748764.6680366783
6579,395000,314669.05837250524
47568,269000,360926.97449200007
19850,1495000,895066.3094109503
17483,199000,130372.08873731823
40673,460000,440515.6902456901
46072,225000,246444.03588645477
4686,650000,818105.522101251
3381,389000,555294.0244656564
19995,169900,197405.58216490666
25297,230000,145806.85181165382
4073,699000,687528.4960136041
32273,359000,325554.7695865734
37983,395000,301192.5336707189
14300,495000,483243.2735175123
4746,125000,151952.99685832433
41176,329000,485022.7613714624
26434,359000,414361.51521161845
4693,149000,168003.57586616115
8851,205000,177609.22915824922
41790,569000,398185.254323125
21896,259000,360425.07520673354
41172,799000,668049.9095897212
38603,330000,455441.39030706335
14905,389000,374402.41463743674
14272,865000,805790.1799627655
23001,545000,479678.2717609359
49890,375000,536521.6838658546
28288,399000,412925.62029257393
12073,580000,747392.2652421738
16336,420000,728105.8689771759
28405,725000,1500487.6752781954
47189,435000,281113.4874025399
34587,99000,178816.39575062826
16968,125000,195830.64914779965
28349,489000,731182.3610364991
22494,475000,414076.3352075352
37398,432100,294628.31743527035
317,160000,195027.19775105378
8232,299000,334869.353372777
51207,725000,439125.35934956453
46361,399000,490496.2016172819
7067,124000,9798.542951594805
48832,239000,245961.65215516608
18531,695000,751379.3503968769
8821,365000,300704.36045545357
51185,499000,641900.9068505727
26506,189000,232242.28892545355
16638,1795000,1495488.7174937301
14409,219000,135861.2477506143
43151,420000,480121.9318977199
29067,470000,449148.7499777417
38716,299000,555165.8330515008
41538,299000,299069.04938094784
4062,349000,442025.5995641161
26571,299000,223637.44613176404
50117,249000,294355.19113522745
22391,385000,463752.27605059673
6070,790000,1000692.4087629921
31636,750000,889873.3889784376
19828,125000,45135.274739818706
30709,590000,912319.8949195786
7817,389000,515115.7956752904
28340,475000,649685.6005909068
6146,165000,121651.33500829915
16254,365000,454366.40075579804
19430,440000,323153.7288378863
5063,599000,760581.4736324737
13291,419000,279247.16748840595
15297,549000,335043.03835697286
38039,695000,537643.4104255035
27424,475000,754120.5606478644
36371,685000,817907.4575330073
25698,439000,308833.34979315335
10621,410000,482345.91814768914
50373,410000,361704.03122174763
6874,1249000,624219.4571215936
52737,299000,300867.3044012105
37917,349000,329158.42283058865
19717,1599000,1259736.3253017005
28503,2295000,765925.9991701476
7052,225000,301917.729571395
17632,298000,399202.97896591364
51423,260000,370010.8361030191
15656,189500,380694.50059267285
17208,449000,365232.64990190323
4814,375000,431783.01159108145
37654,845000,667161.7482873637
17597,260000,242504.09115498504
44445,375000,409912.4725094995
12176,149900,113208.70572834893
2700,129500,194129.47955667734
30050,214000,217324.962429322
31758,1195000,1062244.8705899073
11158,290000,473951.6635585958
1945,669000,614922.2267171851
24916,299000,252109.66721106932
49602,630000,547148.3473148778
1630,670000,953744.5835000711
42887,225000,272052.30556738726
9440,259900,163913.78582487127
39993,475500,401715.42007433117
11087,230000,213483.850439201
5880,435000,290963.1089978419
3521,220000,248451.01203340944
24707,598000,716871.1226520094
22240,299000,326288.01393993193
53024,795000,697370.4895098543
25957,799000,669292.6938350468
46638,280000,271788.55327053973
25687,432700,414486.68109579623
1088,430000,498268.00783678034
1327,1935000,1797675.2075079884
43792,265000,292222.8047510635
9128,265000,285841.5468646588
21423,285000,492526.1681487723
38091,219000,218202.13296063076
29808,345000,704093.4641286198
39138,200000,256524.95987915972
5311,749000,752570.4944494677
42871,349000,467205.9089574859
884,895000,720348.3799008646
27558,599000,615097.1946577018
2545,549000,560625.5667944534
24964,399000,302880.9487188015
22381,379000,251342.8852350819
13758,596000,641947.5098125519
39292,350000,348307.69397745584
27987,596000,511076.68837672914
15495,360000,365697.9408792482
11563,310000,391637.91141993407
13376,209000,215641.62336688922
38227,435000,287900.55492599006
29586,459000,424756.59101490234
50409,455000,360768.8623663664
49543,235000,316715.55375981325
48963,299000,446446.5819771444
11908,275000,234691.1855070842
43470,239000,352871.7819299136
16625,1675000,1429894.3597177635
4563,129000,176578.9743054271
10092,246000,288318.035332755
14881,365000,634968.6289432178
47053,284000,301543.0579746171
9642,649000,775625.4273121019
14362,332000,349298.9040126195
7510,620000,597016.8372408508
8384,439300,360994.5177421918
21054,584986,526432.0689756013
10565,339000,268934.48180427356
39116,325000,399685.9886112341
25847,578000,717186.4042727856
8972,360000,536517.9839671387
18994,115000,9439.299562001834
7762,421000,330508.39346532174
900,2150000,597187.0716885778
23363,325000,289267.68499973486
27996,199000,263990.2038000169
19686,1195000,996634.9710385834
50330,380000,436928.8374632379
21979,399000,389403.60591023264
27319,395000,379236.28303012566
26649,449000,794878.272492348
8460,369000,366207.19350522704
4319,249000,272090.9555928676
44601,495000,463563.3637136155
29513,379000,442157.6953149408
11236,395000,397159.04272492963
44958,490000,485123.5640814904
28882,356068,408389.76147140586
15532,235000,277245.6148452652
38542,445000,361274.44345267623
31918,185000,194138.54066889116
1543,295000,356187.51004241843
40052,338000,262865.3811530567
4809,369000,333125.8135030191
2324,599000,409878.16192968603
15644,135000,57784.45646612224
36923,150000,224911.2896195596
38533,510000,573011.4592878883
36559,443900,346848.5360784618
16240,350000,312727.1424358357
14808,325000,420900.0712928557
3105,435000,466755.4195712596
14024,214000,228261.7384094093
50848,274000,440258.04107169266
7270,889000,738577.9908317018
31258,199500,337711.79359885625
13613,399000,552062.6190748044
6244,399000,501458.53174256004
6493,339000,386033.94899197004
34411,765000,836808.0762703052
41051,260000,433273.2524278168
6009,298500,330487.17769593967
7947,159000,224216.84995754977
20908,399000,280200.1302820615
2328,599000,409878.16192968603
17135,255000,240088.22009466332
47040,275000,368643.5114736728
41540,349000,484550.1896263028
19254,319000,327874.2159002859
21732,345000,293318.93439082627
46245,295000,196840.7320259749
47022,260000,446654.06441657216
19014,155000,134581.07070066774
9415,1880000,1395912.2916895198
32195,315000,455630.16185511806
33247,280000,271921.9414159843
16046,199000,242875.25195958762
50504,925000,668049.9095897212
16430,525000,372268.1724755126
43824,360000,297562.3946394789
17567,249000,230482.50419727914
37016,188000,67479.16155251366
23201,269000,99116.54800876882
49222,627000,639234.910755898
51111,315000,353765.8987788543
17111,208000,98257.09018954448
20624,219000,252290.3180989454
49860,315000,267289.1988601494
3512,149000,123921.52704225876
773,139000,38621.85686822189
38186,389000,317613.8789373208
13525,333000,290341.39020805777
39956,460000,534164.4364556156
52479,200000,371784.9552144526
22357,365000,231393.75978574652
2726,399000,447733.0017735602
25806,543800,434791.13468737167
24978,419000,343608.8138977642
4849,795000,1069625.5649393825
18770,420000,372069.9538829612
3664,495000,763373.416390281
29221,2350000,1112460.5914393961
30289,245000,498981.2117062858
22358,365000,231393.75978574652
40416,300000,389015.09951777273
45628,229000,367114.34160742006
38672,799000,696081.5965093859
16242,350000,312727.1424358357
39198,259000,210854.87511324708
13332,169000,82717.3419246081
40019,242000,279256.0552758431
35144,349000,184084.7601763616
31946,195000,226672.0388499525
22445,412000,384536.72229103325
4,289000,333464.53707486525
42717,849000,748296.1516169807
5093,470000,526429.5707062448
993,425000,377842.2885146809
5586,742000,551913.6949309646
50642,220000,292184.0786098147
45728,290000,308003.786317784
18595,498500,613309.6546588748
47494,249000,310611.3693020056
34059,419113,304246.97170146834
35849,430000,655778.1660246991
34065,423697,304260.18077802565
35213,590000,571546.4025333204
45248,650000,595097.8653855571
44616,215000,392716.49975861696
13500,315000,253555.50984290164
49787,215000,180507.04706493457
4976,195000,143352.31793872325
47804,230000,167632.37686251232
16476,595000,505882.8975922645
13224,219000,335727.38393061975
30570,395000,313590.30564860406
2309,649000,731372.1583894482
14647,170000,272205.22661949106
5897,229000,243051.2767351924
16211,319000,220430.2378433112
14598,99000,95567.72009839321
14709,249000,127190.97071238386
29561,319000,401054.8221114986
37277,315000,457946.0020418427
26401,1199000,1020292.1844134943
2971,155000,133503.44617684407
6903,499000,529445.5910168035
46716,245000,298022.0486518723
3019,285000,328094.2841298339
13905,2150000,1434003.084128111
2778,399000,415543.3111871015
35253,1090000,650418.7439332602
33316,383000,419741.82912958873
27029,213000,286979.63458192267
39381,749000,634407.0798445146
32234,339000,360894.13331677567
32008,245000,381560.18337165815
21433,450000,690084.3205291228
22677,895000,688377.1998355997
33845,309000,366116.6132137846
33140,451200,362696.7854370646
4349,550000,762330.0342285661
22428,399000,470380.4572781645
5812,299500,337446.68993856735
24186,599000,608312.1668815461
42180,639000,587014.188709929
21486,415000,500830.7618550295
42910,295000,436569.80259629944
14569,135000,132636.28760759044
1024,395000,329846.9074352129
